1;1110.0;3200.0;934.0;2310.0;3178.0;4009.0;737.0;3121.0;1976.0;2573.0;6291.0
2;413.0;577.0;410.0;584.0;866.0;1075.0;400.0;701.0;506.0;720.0;539.0
3;455.0;690.0;500.0;456.0;668.0;726.0;435.0;580.0;864.0;444.0;692.0
4;420.0;561.0;429.0;564.0;601.0;627.0;410.0;496.0;604.0;750.0;739.0
5;431.0;619.0;487.0;682.0;607.0;702.0;413.0;779.0;456.0;505.0;537.0
6;430.0;475.0;473.0;857.0;606.0;848.0;437.0;490.0;479.0;671.0;674.0
7;476.0;647.0;504.0;556.0;535.0;722.0;480.0;529.0;475.0;643.0;688.0
8;497.0;475.0;609.0;578.0;971.0;496.0;471.0;708.0;490.0;618.0;498.0
9;535.0;542.0;491.0;638.0;481.0;765.0;481.0;487.0;535.0;1015.0;652.0
10;558.0;584.0;563.0;577.0;645.0;1061.0;513.0;523.0;540.0;612.0;571.0
11;656.0;705.0;627.0;943.0;662.0;728.0;652.0;628.0;639.0;660.0;634.0
12;886.0;1175.0;844.0;893.0;1096.0;1292.0;854.0;1014.0;884.0;1024.0;862.0
13;2461.0;2524.0;2364.0;2518.0;2420.0;2394.0;2435.0;2403.0;2386.0;2673.0;2497.0
14;2291.0;2280.0;2272.0;2379.0;2281.0;2258.0;2305.0;2308.0;2320.0;2275.0;2305.0
15;4418.0;4528.0;4370.0;4366.0;4379.0;4435.0;4497.0;4765.0;4295.0;4523.0;4515.0
16;8717.0;8814.0;8604.0;8670.0;8799.0;8472.0;8742.0;8687.0;8792.0;8865.0;8581.0
17;18237.0;17831.0;17772.0;17577.0;18187.0;17387.0;17879.0;17701.0;18384.0;17701.0;18394.0
18;39222.0;39442.0;40082.0;40192.0;39168.0;39137.0;40017.0;38000.0;39967.0;39049.0;38238.0
19;120085.0;118258.0;119943.0;116758.0;119649.0;121215.0;113909.0;114644.0;115771.0;107854.0;115332.0
20;425823.0;421734.0;420526.0;411620.0;414876.0;412099.0;423135.0;421929.0;408435.0;426251.0;412203.0
21;892820.0;850745.0;878276.0;877227.0;876456.0;866763.0;858800.0;860945.0;868931.0;883683.0;867026.0
